name,type,status,agency_id,email,phone,address,contact_person,notes,payment_terms,cqc_rating,bed_capacity,website
WILLOW VIEW,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest11@gmail.com,,"{""line1"":""201 Norton Road�"",""line2"":""Stockton-on-Tees"",""city"":""Cleveland"",""postcode"":""TS20 2BL"",""country"":""UK""}","{""name"":""Matthew Carter"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest11@gmail.com"",""phone"":""1642555222""}",,net_30,Good,0,
ALISON HOUSE,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest12@gmail.com,,"{""line1"":""Funday way, Thornaby"",""line2"":""Stockton-On-Tees,"",""city"":""Cleveland"",""postcode"":""TS17 6EN"",""country"":""UK""}","{""name"":""Angela Blythe"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest12@gmail.com"",""phone"":""1642675983""}",,net_30,Good,0,
ARLINGTON CARE GROUP,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest13@gmail.com,,"{""line1"":""Gloucester Road, Delves Lane"",""line2"":""Consett"",""city"":""County Durham"",""postcode"":""DH8 7FA"",""country"":""UK""}","{""name"":""Liz Searle"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest13@gmail.com"",""phone"":""01207 423423""}",,net_30,Good,0,
SEAFARERS WAY,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest14@gmail.com,,"{""line1"":""Moor Terrace"",""line2"":""Hendon"",""city"":""Sunderland, Tyne & Wear"",""postcode"":""SR1 2JY"",""country"":""UK""}","{""name"":""Mike Purvis"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest14@gmail.com"",""phone"":""1904675207""}",,net_30,Good,0,
STAPLETON HOUSE CARE HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest15@gmail.com,,"{""line1"":""32 Borough Road"",""line2"":""Jarrow"",""city"":""Sunderland, Tyne & Wear"",""postcode"":""NE32 5BL"",""country"":""UK""}","{""name"":""Kevin"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest15@gmail.com"",""phone"":""1914300179""}",,net_30,Good,0,
PARKVILLE,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest16@gmail.com,,"{""line1"":""Walpole Street"",""line2"":""Middlesbrough"",""city"":""Cleveland"",""postcode"":""TS1 4HA"",""country"":""UK""}","{""name"":""Rachel Cullen"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest16@gmail.com"",""phone"":""01642 223334""}",,net_30,Good,0,
COACH HOUSE NURSING HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest17@gmail.com,,"{""line1"":""Dishforth Road"",""line2"":""Sharow, Ripon"",""city"":""North Yorkshire"",""postcode"":""HG4 5BQ"",""country"":""UK""}","{""name"":""John Broadbent"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest17@gmail.com"",""phone"":""01765 600541""}",,net_30,Good,0,
RYDAL CARE HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest18@gmail.com,,"{""line1"":""Rydal Road"",""line2"":""Darlington"",""city"":""County Durham"",""postcode"":""DL1 4BH�"",""country"":""UK""}","{""name"":""John Smith"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest18@gmail.com"",""phone"":""�01325 369329""}",,net_30,Good,0,
SHORELINE Nursing HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest19@gmail.com,,"{""line1"":""2a Park Avenue"",""line2"":""Redcar"",""city"":""Cleveland"",""postcode"":""TS10 3JZ"",""country"":""UK""}","{""name"":""Bev Laing"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest19@gmail.com"",""phone"":""01642 484592""}",,net_30,Good,0,
DINSDALE CARE HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest20@gmail.com,,"{""line1"":""42-44 Station Ln"",""line2"":""Seaton Carew"",""city"":""Hartlepool"",""postcode"":""TS25 1BG"",""country"":""UK""}","{""name"":""Nora McKittrick"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest20@gmail.com"",""phone"":""�01429 863440""}",,net_30,Good,0,
ABBEYFIELD,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest21@gmail.com,,"{""line1"":""Abbeyfield Alnwick"",""line2"":""South Road, Alnwick"",""city"":""Northumberland"",""postcode"":""NE66 2NZ"",""country"":""UK""}","{""name"":""Heather Dixon"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest21@gmail.com"",""phone"":""1665604876""}",,net_30,Good,0,
REDWORTH HOUSE CARE HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest22@gmail.com,,"{""line1"":""Byerley Road, "",""line2"":""Shildon"",""city"":""County Durham"",""postcode"":""DL4 1HQ"",""country"":""UK""}","{""name"":""Marrissa Jewitt"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest22@gmail.com"",""phone"":""1388777311""}",,net_30,Good,0,
ACTION4CARE,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest23@gmail.com,,"{""line1"":""91-97 Saltergate"",""line2"":""Chesterfield"",""city"":""Yorkshire"",""postcode"":""S40 1LA"",""country"":""UK""}","{""name"":""Jarreth"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest23@gmail.com"",""phone"":""7761988188""}",,"{""days"": 30}",,0,
WILLOW VIEW,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest24@gmail.com,,"{""line1"":""938 Bradford Road"",""line2"":""East Brierley"",""city"":""East Brierley"",""postcode"":""BD4 6PA"",""country"":""UK""}","{""name"":""Pamela Sanhokwe"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest24@gmail.com"",""phone"":""01274 050898""}",,"{""days"": 30}",,0,
Northfield House,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest25@gmail.com,,"{""line1"":""Stockton Road"",""line2"":""Knayton"",""city"":""North Yorkshire"",""postcode"":""YO7 4AN"",""country"":""UK""}","{""name"":""Paul Hutchinson"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest25@gmail.com"",""phone"":""01845 421475""}",,"{""days"": 30}",,0,
Low Lane House,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest26@gmail.com,,"{""line1"":""18 Low Lane, Acklam"",""line2"":""Middlesbrough"",""city"":""Cleveland"",""postcode"":""TS5 8EA"",""country"":""UK""}","{""name"":""Laura Tucker"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest26@gmail.com"",""phone"":""01642 378657""}",,"{""days"": 30}",,0,
